???????	????	????	??
"1 (2006)"	"Subtype of Mild Cognitive Impairment and Progression to Dementia and Death"	"Dementia and Geriatric Cognitive Disorders"	"K. Yaffe, R. C. Petersen, K. Lindquist, J. Kramer, and B. Miller"
"2 (2009)"	"Mild Cognitive Impairment: Ten Years Later"	"Archives of Neurology"	"R. C. Petersen et al."
"3 (2014)"	"Higher risk of progression to dementia in mild cognitive impairment cases who revert to normal"	"Neurology"	"R. O. Roberts et al."
"4 (2016)"	"Spontaneous Reversion of Mild Cognitive Impairment to Normal Cognition: A Systematic Review of Literature and Meta-Analysis"	"Journal of the American Medical Directors Association"	"M. Canevelli et al."
"5 (2019)"	"Differentiating mild cognitive impairment and cognitive changes of Normal aging"	"Handbook on the Neuropsychology of Aging and Dementia: Springer"	"C. B. Mosti, L. A. Rog, and J. W. Fink"
"6 (2020)"	"Design and rationale of the PACt-MD randomized clinical trial: Prevention of Alzheimer?s dementia with cognitive remediation plus transcranial direct current stimulation in mild cognitive impairment and depression"	"Journal of Alzheimer's Disease"	"T. K. Rajji et al."
"7 (2022)"	"Are there consistent abnormalities in event?related EEG oscillations in patients with Alzheimer?s disease compared to other diseases belonging to dementia?"	"Psychophysiology"	"B. G?ntekin et al."
"8 (2021)"	"Measures of resting state EEG rhythms for clinical trials in Alzheimer's disease: Recommendations of an expert panel"	"Alzheimer's & Dementia"	"C. Babiloni et al."
"9 (2013)"	"EEG signal processing"	"John Wiley & Sons"	"S. Sanei and J. A. Chambers"
"10 (2011)"	"Utility of Combinations of Biomarkers, Cognitive Markers, and Risk Factors to Predict Conversion From Mild Cognitive Impairment to Alzheimer Disease in Patients in the Alzheimer's Disease Neuroimaging Initiative"	"Archives of General Psychiatry"	"J. J. Gomar, M. T. Bobes-Bascaran, C. Conejero-Goldberg, P. Davies, T. E. Goldberg, and N. Alzheimer's Dis"
"11 (2020)"	"Frontal-executive dysfunction affects dementia conversion in patients with amnestic mild cognitive impairment"	"Scientific Reports"	"Y. H. Jung et al."
"12 (2011)"	"Working Memory in Mild Cognitive Impairment and Alzheimer's Disease: Contribution of Forgetting and Predictive Value of Complex Span Tasks"	"Neuropsychology"	"L. G. Gagnon and S. Belleville"
"13 (2008)"	"Chapter 23 Characterizing the memory changes in persons with mild cognitive impairment"	"Progress in Brain Research: Elsevier"	"S. Belleville, S. Sylvain-Roy, C. de Boysson, and M.-C. M?nard"
"14 (2013)"	"Diagnostic and statistical manual of mental disorders : DSM-5"	"American Psychiatric Association"	"American Psychiatric Association"
"15 (2011)"	"The diagnosis of mild cognitive impairment due to Alzheimer's disease: Recommendations from the National Institute on Aging-Alzheimer's Association workgroups on diagnostic guidelines for Alzheimer's disease"	"Alzheimers Dement"	"M. S. Albert et al."
"16 (2012)"	"The validity of amnestic MCI and non-amnestic MCI at age 75 in the prediction of Alzheimer's dementia and vascular dementia"	"International Psychogeriatrics"	"S. Jungwirth, S. Zehetmayer, M. Hinterberger, K. H. Tragl, and P. Fischer"
"17 (2011)"	"Outcomes of Mild Cognitive Impairment by Definition: A Population Study"	"Archives of Neurology"	"M. Ganguli et al."
"18 (2024)"	"Biomarker-based staging of Alzheimer disease: rationale and clinical applications"	"Nature Reviews Neurology"	"J. Therriault et al."
"19 (2022)"	"Clinical application of CSF biomarkers for Alzheimer's disease: From rationale to ratios"	"Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring"	"F. H. Bouwman et al."
"20 (2007)"	"Hippocampal and entorhinal atrophy in mild cognitive impairment"	"Neurology"	"D. P. Devanand et al."
"21 (2019)"	"The neuropathological diagnosis of Alzheimer?s disease"	"Molecular Neurodegeneration"	"M. A. DeTure and D. W. Dickson"
"22 (2008)"	"Post-mortem correlates of in vivo PiB-PET amyloid imaging in a typical case of Alzheimer's disease"	"Brain"	"M. D. Ikonomovic et al."
"23 (2019)"	"Plasma A?42/40 Ratio Detects Early Stages of Alzheimer's Disease and Correlates with CSF and Neuroimaging Biomarkers in the AB255 Study"	"The journal of prevention of Alzheimer's disease"	"V. P?rez-Grijalba et al."
"24 (2019)"	"Applications of amyloid, tau, and neuroinflammation PET imaging to Alzheimer's disease and mild cognitive impairment"	"Human brain mapping"	"A. Chandra, P. E. Valkimadi, G. Pagano, O. Cousins, G. Dervenoulas, and M. Politis"
"25 (2011)"	"Prediction of MCI to AD conversion, via MRI, CSF biomarkers, and pattern classification"	"Neurobiology of Aging"	"C. Davatzikos, P. Bhatt, L. M. Shaw, K. N. Batmanghelich, and J. Q. Trojanowski"
"26 (2022)"	"CSF Alzheimer Disease Biomarkers"	"Neurology"	"B. D. Greenberg et al."
"27 (2023)"	"Plasma Biomarkers of Alzheimer's Disease: A Review of Available Assays, Recent Developments, and Implications for Clinical Practice"	"Journal of Alzheimer's disease reports"	"M. V. Pais, O. V. Forlenza, and B. S. Diniz"
"28 (2009)"	"Hippocampal volume and asymmetry in mild cognitive impairment and Alzheimer's disease: Meta-analyses of MRI studies"	"Hippocampus"	"F. Shi, B. Liu, Y. Zhou, C. Yu, and T. Jiang"
"29 (2020)"	"Cortical atrophy patterns of incident MCI subtypes in the Mayo Clinic Study of Aging"	"Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring"	"M. M. Machulda et al."
"30 (2020)"	"Patterns of longitudinal cortical atrophy over 3 years in empirically derived MCI subtypes"	"Neurology"	"E. C. Edmonds et al."
"31 (2019)"	"White matter alterations in early-stage Alzheimer's disease: A tract-specific study"	"Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring"	"Q. Wen et al."
"32 (2014)"	"Cognitive Changes Preceding Clinical Symptom Onset of Mild Cognitive Impairment and Relationship to ApoE Genotype"	"Current Alzheimer Research"	"M. Albert et al."
"33 (2021)"	"Segmented Linear Mixed Model Analysis Reveals Association of the APOE ?4 Allele with Faster Rate of Alzheimer?s Disease Dementia Progression"	"Journal of Alzheimer's Disease"	"X. R. Chen, Y. Shao, M. J. Sadowski, and I. for the Alzheimer?s Disease Neuroimaging"
"34 (2006)"	"The functional neuroanatomy of working memory: Contributions of human brain lesion studies"	"Neuroscience"	"N. G. M?ller and R. T. Knight"
"35 (2002)"	"Contributions of Subregions of the Prefrontal Cortex to Working Memory: Evidence from Brain Lesions in Humans"	"Cerebral Cortex"	"N. G. M?ller, L. Machado, and R. T. Knight"
"36 (2005)"	"The Role of the Prefrontal Cortex in the Maintenance of Verbal Working Memory: An Event-Related fMRI Analysis"	"Neuropsychology"	"N. S. Narayanan, V. Prabhakaran, S. A. Bunge, K. Christoff, E. M. Fine, and J. D. E. Gabrieli"
"37 (2019)"	"Meta-analyses of the n-back working memory task: fMRI evidence of age-related changes in prefrontal cortex involvement across the adult lifespan"	"NeuroImage"	"Z. A. Yaple, W. D. Stevens, and M. Arsalidou"
